600416917;600416920;209;
600935648;600935650;203;
601065065;601065066;243;
601136592;601136594;279;
601178611;601178614;277;
601343027;601343028;294;
601460631;601460632;279;
601469874;601469876;285;
601492856;601492861;201;
601660392;601660393;230;
601822830;601822832;262;
602532959;602532964;243;
603164143;603164147;227;
603280970;603280973;220;
603475309;603475312;289;
603682265;603682266;292;
603787666;603787667;299;
604300755;604300758;288;
604596650;604596654;252;
605003229;605003231;235;
605031260;605031265;248;
605463732;605463736;280;
605601372;605601376;208;
605613942;605613946;211;
605637089;605637091;267;
605662096;605662101;287;
605798281;605798286;215;
606024730;606024734;271;
606042061;606042066;202;
606286749;606286753;234;
606296717;606296722;280;
606327080;606327082;228;
606648837;606648841;255;
606990804;606990809;249;
607042187;607042191;249;
607305846;607305848;275;
607307460;607307461;223;
608015493;608015494;287;
608097269;608097270;218;
608395306;608395310;297;
608618245;608618250;248;
608708056;608708058;266;
608920988;608920989;228;
608937379;608937381;265;
609140004;609140005;247;
609152379;609152381;225;
609381810;609381812;269;
609481014;609481017;255;
609495889;609495893;300;
609563245;609563247;290;
609586046;609586047;263;
609603053;609603056;268;
609606571;609606572;205;
609919461;609919462;237;
610196364;610196368;210;
610252522;610252526;209;
610318911;610318916;280;
610357452;610357454;264;
610560026;610560029;256;
610572775;610572779;235;
610710206;610710209;214;
610711215;610711220;298;
610960522;610960523;202;
610993710;610993715;243;
611145416;611145419;205;
611790259;611790263;211;
611885639;611885642;266;
612059737;612059742;216;
612574221;612574223;201;
612582106;612582110;274;
612609340;612609345;226;
612978955;612978957;264;
613111648;613111651;279;
613160116;613160119;214;
614028135;614028137;268;
614074042;614074046;299;
614080988;614080989;263;
614237694;614237696;290;
614326890;614326891;243;
614348553;614348556;232;
614378666;614378670;227;
614395875;614395877;218;
614530860;614530865;248;
614767741;614767746;248;
614783711;614783714;224;
614817710;614817712;267;
615092534;615092539;214;
615169999;615170002;262;
615208777;615208778;267;
615209744;615209745;270;
615454433;615454438;221;
615552757;615552760;225;
615786407;615786408;249;
615821677;615821681;248;
615903922;615903926;275;
616200019;616200020;250;
616407057;616407062;207;
616568327;616568330;286;
616820265;616820267;203;
616822187;616822190;246;
616952840;616952844;262;
616954336;616954341;203;
616975618;616975622;258;
617103593;617103594;255;
617353491;617353492;227;
617528350;617528351;260;
617661180;617661185;245;
617752961;617752963;276;
618510513;618510516;287;
618679735;618679736;207;
618787177;618787179;259;
618829331;618829333;207;
619319719;619319721;204;
619354297;619354298;283;
619395008;619395013;257;
619536308;619536310;248;
619817898;619817900;219;
620060380;620060383;241;
620277468;620277472;206;
620550240;620550241;270;
621126016;621126019;231;
621436054;621436059;256;
621793929;621793931;269;
622121866;622121867;252;
622616957;622616962;224;
622923795;622923800;226;
623261252;623261255;256;
623369093;623369094;219;
623667546;623667547;214;
623989422;623989427;236;
624002539;624002542;243;
624101073;624101078;239;
624411694;624411697;297;
625232866;625232871;252;
625443591;625443593;261;
625670634;625670638;284;
625804375;625804380;209;
625874156;625874159;258;
625905027;625905029;247;
626207601;626207603;249;
626450206;626450208;247;
626702955;626702958;257;
626736830;626736835;241;
626797371;626797372;264;
626915554;626915558;288;
626916077;626916079;265;
627018393;627018395;279;
627409337;627409342;279;
627488927;627488928;267;
627736227;627736230;287;
627754650;627754652;260;
627789159;627789161;285;
627873561;627873564;297;
627880260;627880262;270;
628279535;628279537;248;
628768969;628768972;203;
629118445;629118447;220;
629156998;629156999;288;
629248370;629248372;263;
